face_1,face_2,face_3,face_4,face_5,face_6,face_7,face_8,face_9,face_10,face_11,face_12,face_13,face_14,face_15,face_16,face_17,face_18,face_19,face_20,face_21,face_22,face_23,face_24,face_25,face_26,face_27,face_28,face_29,neck_1,neck_2,neck_3
0.56,0.56,1.0,1.0,0.98,0.98,0.16199999999999998,0.16199999999999998,0.35,0.35,0.35,0.37,0.18,0.14999999999999997,1.0,0.25,0.965,0.65,0.27,0.95,0.98,0.27,0.27,0.67,0.4,0.65,0.41,0.04,0.62,0.041,0.035,-0.032
0.5,0.5,0.93,0.93,1.0,1.0,0.16199999999999998,0.16199999999999998,0.39,0.39,0.35,0.37,0.16499999999999998,0.13499999999999995,1.0,0.21,0.99,0.62,0.26,0.98,1.0,0.26,0.26,0.66,0.4,0.64,0.41,0.02,0.52,0.033,0.024,-0.049
0.5,0.5,0.93,0.93,1.0,1.0,0.16199999999999998,0.16199999999999998,0.39,0.39,0.34,0.38,0.16499999999999998,0.11999999999999994,1.0,0.21,0.985,0.62,0.26,0.98,0.99,0.26,0.26,0.66,0.4,0.63,0.41,0.02,0.53,0.043,0.024,-0.051
0.56,0.56,1.0,1.0,0.98,0.98,0.9487447547912597,0.9487115550041199,0.28,0.28,0.36,0.36,0.16499999999999998,0.16499999999999998,1.0,0.23,0.96,0.64,0.28,0.96,0.96,0.28,0.28,0.66,0.4,0.66,0.4,0.02,0.52,0.051,0.024,-0.046
0.5,0.5,0.93,0.93,1.0,1.0,0.16199999999999998,0.16199999999999998,0.29,0.29,0.36,0.36,0.16499999999999998,0.11999999999999994,1.0,0.23,0.98,0.64,0.26,0.98,0.98,0.26,0.26,0.66,0.4,0.63,0.41,0.02,0.54,0.097,0.036,-0.029
0.52,0.52,0.97,0.97,1.0,1.0,0.16199999999999998,0.16199999999999998,0.29,0.29,0.36,0.36,0.14999999999999997,0.11999999999999994,1.0,0.23,0.985,0.63,0.25,0.98,0.99,0.25,0.25,0.65,0.4,0.63,0.42,0.01,0.55,0.153,0.042,-0.027
0.52,0.52,0.98,0.98,1.0,1.0,0.16199999999999998,0.16199999999999998,0.27,0.27,0.36,0.36,0.14999999999999997,0.11999999999999994,1.0,0.22,0.99,0.63,0.25,0.99,0.99,0.25,0.25,0.65,0.4,0.63,0.42,0.01,0.56,0.231,0.043,-0.018
0.53,0.53,0.99,0.99,1.0,1.0,0.16199999999999998,0.16199999999999998,0.26,0.26,0.36,0.36,0.13499999999999995,0.10499999999999993,1.0,0.22,0.99,0.63,0.25,0.99,0.99,0.25,0.25,0.64,0.41,0.62,0.42,0.01,0.56,0.268,0.042,-0.012
0.53,0.53,1.0,1.0,1.0,1.0,0.16199999999999998,0.16199999999999998,0.22,0.22,0.37,0.35,0.11999999999999994,0.08999999999999991,1.0,0.22,0.99,0.63,0.25,0.99,0.99,0.25,0.25,0.63,0.42,0.61,0.42,0.01,0.57,0.293,0.044,0.003
0.57,0.57,1.0,1.0,0.97,0.97,0.48111126899719237,0.48073903799057005,0.12,0.12,0.39,0.34,0.13499999999999995,0.11999999999999994,1.0,0.25,0.955,0.65,0.27,0.95,0.96,0.27,0.27,0.64,0.41,0.63,0.41,0.02,0.58,0.305,0.044,0.028
0.56,0.56,1.0,1.0,0.98,0.98,0.16199999999999998,0.16199999999999998,0.21,0.21,0.39,0.34,0.14999999999999997,0.11999999999999994,1.0,0.24,0.97,0.64,0.26,0.97,0.97,0.26,0.26,0.65,0.41,0.63,0.41,0.02,0.56,0.323,0.041,0.029
0.51,0.51,0.95,0.95,1.0,1.0,0.16199999999999998,0.16199999999999998,0.23,0.23,0.37,0.35,0.13499999999999995,0.11999999999999994,1.0,0.23,0.98,0.64,0.26,0.98,0.98,0.26,0.26,0.64,0.41,0.63,0.42,0.01,0.56,0.313,0.032,0.018
0.56,0.56,1.0,1.0,0.97,0.97,0.8946438837051391,0.8945923852920532,0.22,0.22,0.37,0.36,0.14999999999999997,0.13499999999999995,1.0,0.25,0.965,0.65,0.28,0.96,0.97,0.28,0.28,0.65,0.41,0.64,0.41,0.02,0.55,0.298,0.022,-0.0
