face_1,face_2,face_3,face_4,face_5,face_6,face_7,face_8,face_9,face_10,face_11,face_12,face_13,face_14,face_15,face_16,face_17,face_18,face_19,face_20,face_21,face_22,face_23,face_24,face_25,face_26,face_27,face_28,face_29,neck_1,neck_2,neck_3
0.92,0.92,1.0,1.0,0.68,0.68,0.16199999999999998,0.16199999999999998,0.27,0.27,0.36,0.36,0.0,0.0,1.0,0.4,0.98,0.76,0.56,0.98,0.98,0.56,0.56,0.32,0.9,0.32,0.89,0.21,1.0,0.06,-0.01,0.025
0.92,0.92,1.0,1.0,0.68,0.68,0.16199999999999998,0.16199999999999998,0.26,0.26,0.36,0.36,0.0,0.0,1.0,0.39,0.98,0.76,0.56,0.98,0.98,0.56,0.56,0.32,0.91,0.31,0.92,0.22,1.0,0.069,-0.012,0.028
0.92,0.92,1.0,1.0,0.68,0.68,0.16199999999999998,0.16199999999999998,0.25,0.25,0.36,0.36,0.0,0.0,1.0,0.38,0.98,0.75,0.56,0.98,0.98,0.56,0.56,0.32,0.91,0.31,0.92,0.22,1.0,0.082,-0.013,0.027
0.92,0.92,1.0,1.0,0.68,0.68,0.16199999999999998,0.16199999999999998,0.24,0.24,0.37,0.35,0.0,0.0,1.0,0.38,0.985,0.75,0.56,0.98,0.99,0.56,0.56,0.31,0.91,0.31,0.92,0.23,1.0,0.097,-0.012,0.033
0.92,0.92,1.0,1.0,0.68,0.68,0.16199999999999998,0.16199999999999998,0.24,0.24,0.38,0.34,0.0,0.0,1.0,0.37,0.985,0.74,0.56,0.98,0.99,0.56,0.56,0.31,0.92,0.31,0.92,0.23,1.0,0.109,-0.009,0.045
0.92,0.92,1.0,1.0,0.68,0.68,0.16199999999999998,0.16199999999999998,0.22,0.22,0.39,0.33,0.0,0.0,1.0,0.37,0.98,0.74,0.56,0.98,0.98,0.56,0.56,0.31,0.92,0.31,0.92,0.24,1.0,0.125,-0.007,0.056
0.92,0.92,1.0,1.0,0.68,0.68,0.16199999999999998,0.16199999999999998,0.22,0.22,0.39,0.33,0.0,0.0,1.0,0.37,0.98,0.74,0.56,0.98,0.98,0.56,0.56,0.31,0.92,0.31,0.92,0.24,1.0,0.152,-0.005,0.058
0.92,0.92,1.0,1.0,0.68,0.68,0.16199999999999998,0.16199999999999998,0.22,0.22,0.4,0.33,0.0,0.0,1.0,0.36,0.98,0.73,0.56,0.98,0.98,0.56,0.56,0.31,0.92,0.31,0.92,0.24,1.0,0.148,-0.008,0.062
0.92,0.92,1.0,1.0,0.68,0.68,0.16199999999999998,0.16199999999999998,0.25,0.25,0.4,0.33,0.0,0.0,1.0,0.35,0.98,0.73,0.56,0.98,0.98,0.56,0.56,0.31,0.92,0.31,0.92,0.21,1.0,0.117,-0.011,0.058
0.92,0.92,1.0,1.0,0.68,0.68,0.16199999999999998,0.16199999999999998,0.28,0.28,0.4,0.33,0.0,0.0,1.0,0.35,0.98,0.73,0.56,0.98,0.98,0.56,0.56,0.31,0.92,0.31,0.92,0.2,1.0,0.091,-0.015,0.059
0.92,0.92,1.0,1.0,0.68,0.68,0.16199999999999998,0.16199999999999998,0.3,0.3,0.41,0.32,0.0,0.0,1.0,0.38,0.98,0.74,0.56,0.98,0.98,0.56,0.56,0.31,0.92,0.31,0.92,0.2,1.0,0.08,-0.008,0.066
0.92,0.92,1.0,1.0,0.68,0.68,0.16199999999999998,0.16199999999999998,0.29,0.29,0.44,0.29,0.0,0.0,1.0,0.38,0.98,0.75,0.56,0.98,0.98,0.56,0.56,0.31,0.92,0.31,0.92,0.2,1.0,0.075,-0.001,0.083
0.92,0.92,1.0,1.0,0.68,0.68,0.16199999999999998,0.16199999999999998,0.31,0.31,0.49,0.23,0.0,0.0,1.0,0.38,0.98,0.75,0.56,0.98,0.98,0.56,0.56,0.31,0.92,0.31,0.92,0.19,1.0,0.097,0.005,0.112
0.92,0.92,1.0,1.0,0.68,0.68,0.16199999999999998,0.16199999999999998,0.38,0.38,0.75,-0.01,0.0,0.0,1.0,0.43,0.97,0.79,0.56,0.97,0.97,0.56,0.56,0.31,0.92,0.31,0.92,0.16,1.0,0.103,0.008,0.129
0.92,0.92,1.0,1.0,0.68,0.68,0.16199999999999998,0.16199999999999998,0.37,0.37,0.76,-0.02,0.0,0.0,1.0,0.43,0.97,0.79,0.56,0.97,0.97,0.56,0.56,0.31,0.92,0.31,0.92,0.15,0.95,0.108,0.008,0.14
0.92,0.92,1.0,1.0,0.68,0.68,0.16199999999999998,0.16199999999999998,0.38,0.38,0.78,-0.03,0.0,0.0,1.0,0.44,0.97,0.79,0.56,0.97,0.97,0.56,0.56,0.31,0.92,0.31,0.92,0.15,0.9,0.11,0.007,0.151
0.92,0.92,1.0,1.0,0.68,0.68,0.16199999999999998,0.16199999999999998,0.3,0.3,0.56,0.17,0.0,0.0,1.0,0.43,0.97,0.79,0.56,0.97,0.97,0.56,0.56,0.31,0.92,0.31,0.92,0.16,1.0,0.107,0.005,0.153
0.92,0.92,1.0,1.0,0.68,0.68,0.16199999999999998,0.16199999999999998,0.28,0.28,0.52,0.2,0.0,0.0,1.0,0.4,0.98,0.77,0.56,0.98,0.98,0.56,0.56,0.31,0.92,0.31,0.92,0.17,1.0,0.115,0.005,0.159
0.92,0.92,1.0,1.0,0.68,0.68,0.16199999999999998,0.16199999999999998,0.27,0.27,0.52,0.21,0.0,0.0,1.0,0.39,0.98,0.76,0.56,0.98,0.98,0.56,0.56,0.31,0.92,0.31,0.92,0.18,1.0,0.112,0.004,0.155
0.92,0.92,1.0,1.0,0.68,0.68,0.16199999999999998,0.16199999999999998,0.26,0.26,0.5,0.23,0.0,0.0,1.0,0.38,0.98,0.75,0.56,0.98,0.98,0.56,0.56,0.31,0.92,0.31,0.92,0.18,1.0,0.114,0.001,0.148
0.92,0.92,1.0,1.0,0.68,0.68,0.16199999999999998,0.16199999999999998,0.26,0.26,0.46,0.27,0.0,0.0,1.0,0.36,0.98,0.74,0.56,0.98,0.98,0.56,0.56,0.31,0.92,0.31,0.92,0.18,1.0,0.113,-0.007,0.119
0.92,0.92,1.0,1.0,0.68,0.68,0.16199999999999998,0.16199999999999998,0.27,0.27,0.43,0.29,0.0,0.0,1.0,0.37,0.98,0.74,0.56,0.98,0.98,0.56,0.56,0.31,0.92,0.31,0.92,0.18,1.0,0.102,-0.006,0.088
0.92,0.92,1.0,1.0,0.68,0.68,0.16199999999999998,0.16199999999999998,0.28,0.28,0.38,0.34,0.0,0.0,1.0,0.36,0.975,0.73,0.56,0.97,0.98,0.56,0.56,0.31,0.92,0.31,0.92,0.18,1.0,0.094,-0.01,0.06
0.92,0.92,1.0,1.0,0.68,0.68,0.16199999999999998,0.16199999999999998,0.29,0.29,0.35,0.37,0.0,0.0,1.0,0.36,0.975,0.73,0.56,0.97,0.98,0.56,0.56,0.31,0.92,0.31,0.92,0.18,1.0,0.082,-0.015,0.021
0.92,0.92,1.0,1.0,0.68,0.68,0.16199999999999998,0.16199999999999998,0.33,0.33,0.34,0.39,0.0,0.0,1.0,0.36,0.98,0.73,0.56,0.98,0.98,0.56,0.56,0.31,0.92,0.31,0.92,0.2,1.0,0.077,-0.019,0.006
