face_1,face_2,face_3,face_4,face_5,face_6,face_7,face_8,face_9,face_10,face_11,face_12,face_13,face_14,face_15,face_16,face_17,face_18,face_19,face_20,face_21,face_22,face_23,face_24,face_25,face_26,face_27,face_28,face_29,neck_1,neck_2,neck_3
0.56,0.56,1.0,1.0,0.98,0.98,0.16199999999999998,0.16199999999999998,0.58,0.58,0.32,0.41,0.0,0.0,1.0,0.25,0.98,0.65,0.28,0.98,0.98,0.28,0.28,0.54,0.46,0.53,0.48,0.04,0.55,-0.286,-0.011,-0.072
0.55,0.55,1.0,1.0,0.98,0.98,0.16199999999999998,0.16199999999999998,0.58,0.58,0.32,0.4,0.0,0.0,1.0,0.24,0.985,0.64,0.27,0.98,0.99,0.27,0.27,0.55,0.45,0.55,0.46,0.04,0.54,-0.271,-0.005,-0.079
0.48,0.48,0.89,0.89,1.0,1.0,0.16199999999999998,0.16199999999999998,0.56,0.56,0.33,0.39,0.0,0.0,1.0,0.24,0.985,0.64,0.28,0.98,0.99,0.28,0.28,0.54,0.47,0.53,0.49,0.04,0.55,-0.222,0.016,-0.089
0.49,0.49,0.9,0.9,1.0,1.0,0.16199999999999998,0.16199999999999998,0.54,0.54,0.34,0.39,0.0,0.0,1.0,0.24,0.99,0.64,0.27,0.99,0.99,0.27,0.27,0.55,0.46,0.53,0.48,0.03,0.54,-0.203,0.03,-0.082
0.56,0.56,1.0,1.0,0.98,0.98,0.34159294843673704,0.3350232350826263,0.36,0.36,0.34,0.39,0.05999999999999989,0.05999999999999989,1.0,0.25,0.98,0.65,0.32,0.98,0.98,0.32,0.32,0.59,0.43,0.59,0.43,0.04,0.53,-0.155,0.02,-0.065
0.56,0.56,1.0,1.0,0.97,0.97,0.16199999999999998,0.16199999999999998,0.48,0.48,0.33,0.39,0.02999999999999986,0.02999999999999986,1.0,0.26,0.975,0.66,0.28,0.97,0.98,0.28,0.28,0.57,0.44,0.57,0.44,0.04,0.54,-0.144,0.009,-0.04
0.48,0.48,0.88,0.88,1.0,1.0,0.16199999999999998,0.16199999999999998,0.5,0.5,0.33,0.39,0.05999999999999989,0.02999999999999986,1.0,0.24,0.98,0.64,0.27,0.98,0.98,0.27,0.27,0.59,0.43,0.57,0.44,0.03,0.54,-0.138,0.016,-0.043
0.48,0.48,0.88,0.88,1.0,1.0,0.16199999999999998,0.16199999999999998,0.49,0.49,0.33,0.4,0.05999999999999989,0.04499999999999987,1.0,0.24,0.98,0.64,0.27,0.98,0.98,0.27,0.27,0.59,0.43,0.58,0.44,0.03,0.54,-0.08,0.009,-0.027
0.49,0.49,0.9,0.9,1.0,1.0,0.16199999999999998,0.16199999999999998,0.55,0.55,0.28,0.44,0.0,0.0,1.0,0.24,0.98,0.64,0.27,0.98,0.98,0.27,0.27,0.53,0.49,0.53,0.48,0.03,0.55,-0.032,0.014,-0.017
0.5,0.5,0.92,0.92,1.0,1.0,0.16199999999999998,0.16199999999999998,0.58,0.58,0.27,0.46,0.0,0.0,1.0,0.24,0.98,0.65,0.28,0.98,0.98,0.28,0.28,0.51,0.52,0.51,0.53,0.03,0.55,-0.037,0.02,-0.038
0.56,0.56,1.0,1.0,0.98,0.98,0.16199999999999998,0.16199999999999998,0.59,0.59,0.27,0.45,0.0,0.0,1.0,0.25,0.98,0.65,0.28,0.98,0.98,0.28,0.28,0.52,0.5,0.52,0.51,0.04,0.56,-0.059,0.023,-0.058
0.56,0.56,1.0,1.0,0.98,0.98,0.16199999999999998,0.16199999999999998,0.58,0.58,0.28,0.45,0.0,0.0,1.0,0.25,0.98,0.65,0.28,0.98,0.98,0.28,0.28,0.52,0.5,0.52,0.51,0.04,0.57,-0.069,0.023,-0.059
0.56,0.56,1.0,1.0,0.98,0.98,0.16199999999999998,0.16199999999999998,0.59,0.59,0.3,0.42,0.0,0.0,1.0,0.25,0.98,0.65,0.29,0.98,0.98,0.29,0.29,0.53,0.5,0.52,0.51,0.04,0.57,-0.071,0.023,-0.064
0.56,0.56,1.0,1.0,0.98,0.98,0.16199999999999998,0.16199999999999998,0.59,0.59,0.33,0.39,0.0,0.0,1.0,0.26,0.98,0.65,0.29,0.98,0.98,0.29,0.29,0.51,0.52,0.51,0.53,0.05,0.55,-0.059,0.021,-0.053
0.56,0.56,1.0,1.0,0.98,0.98,0.30894682884216307,0.30704898715019224,0.38,0.38,0.38,0.34,0.0,0.02999999999999986,1.0,0.27,0.98,0.67,0.32,0.98,0.98,0.32,0.32,0.55,0.45,0.57,0.44,0.05,0.52,-0.062,0.022,-0.025
0.56,0.56,1.0,1.0,0.98,0.98,0.16199999999999998,0.16199999999999998,0.49,0.49,0.41,0.32,0.0,0.0,1.0,0.27,0.97,0.66,0.31,0.97,0.97,0.31,0.31,0.55,0.45,0.55,0.45,0.05,0.51,-0.046,0.03,0.014
0.56,0.56,1.0,1.0,0.98,0.98,0.16199999999999998,0.16199999999999998,0.5,0.5,0.42,0.3,0.0,0.0,1.0,0.26,0.97,0.66,0.31,0.97,0.97,0.31,0.31,0.53,0.49,0.53,0.49,0.04,0.49,-0.031,0.031,0.038
0.56,0.56,1.0,1.0,0.98,0.98,0.26839769959449766,0.26783175349235533,0.39,0.39,0.41,0.31,0.0,0.0,1.0,0.27,0.97,0.66,0.32,0.97,0.97,0.32,0.32,0.54,0.46,0.54,0.46,0.04,0.48,-0.023,0.035,0.042
0.56,0.56,1.0,1.0,0.98,0.98,0.16199999999999998,0.16199999999999998,0.45,0.45,0.39,0.34,0.0,0.0,1.0,0.3,0.96,0.68,0.33,0.96,0.96,0.33,0.33,0.55,0.45,0.55,0.45,0.04,0.47,-0.024,0.039,0.047
0.56,0.56,1.0,1.0,0.98,0.98,0.16199999999999998,0.16199999999999998,0.47,0.47,0.34,0.38,0.015000000000000013,0.02999999999999986,1.0,0.3,0.94,0.69,0.33,0.94,0.94,0.33,0.33,0.56,0.45,0.57,0.44,0.04,0.46,-0.014,0.041,0.014
0.57,0.57,1.0,1.0,0.96,0.96,0.16199999999999998,0.16199999999999998,0.45,0.45,0.32,0.4,0.08999999999999991,0.11999999999999994,0.75,0.34,0.825,0.72,0.42,0.83,0.82,0.42,0.42,0.61,0.42,0.63,0.41,0.04,0.44,-0.027,0.035,-0.024
0.58,0.58,1.0,1.0,0.96,0.96,0.16199999999999998,0.16199999999999998,0.41,0.41,0.31,0.41,0.23999999999999988,0.2699999999999999,0.5,0.39,0.36,0.76,0.56,0.37,0.35,0.56,0.56,0.71,0.38,0.73,0.37,0.05,0.43,-0.035,0.028,-0.036
0.57,0.57,1.0,1.0,0.97,0.97,0.16199999999999998,0.16199999999999998,0.4,0.4,0.31,0.41,0.29999999999999993,0.32999999999999996,0.25,0.4,0.29000000000000004,0.77,0.56,0.3,0.28,0.56,0.56,0.75,0.36,0.77,0.35,0.06,0.47,-0.029,0.018,-0.039
0.57,0.57,1.0,1.0,0.97,0.97,0.16199999999999998,0.16199999999999998,0.41,0.41,0.31,0.41,0.31499999999999995,0.345,0.25,0.4,0.28,0.76,0.56,0.29,0.27,0.56,0.56,0.76,0.36,0.78,0.35,0.06,0.56,-0.024,0.014,-0.04
0.56,0.56,1.0,1.0,0.98,0.98,0.16199999999999998,0.16199999999999998,0.41,0.41,0.31,0.41,0.375,0.4199999999999999,0.0,0.43,0.25,0.79,0.56,0.25,0.25,0.56,0.56,0.8,0.34,0.83,0.33,0.11,0.81,-0.029,0.013,-0.038
0.0,0.0,0.0,0.0,1.0,1.0,0.16199999999999998,0.16199999999999998,0.42,0.42,0.33,0.39,0.36,0.4199999999999999,0.0,0.46,0.25,0.81,0.56,0.25,0.25,0.56,0.56,0.79,0.34,0.83,0.33,0.13,0.9,-0.025,0.013,-0.03
0.0,0.0,0.0,0.0,1.0,1.0,0.16199999999999998,0.16199999999999998,0.42,0.42,0.34,0.38,0.32999999999999996,0.375,0.0,0.49,0.25,0.83,0.56,0.25,0.25,0.56,0.56,0.77,0.35,0.8,0.34,0.14,0.88,-0.016,0.017,-0.018
0.0,0.0,0.0,0.0,1.0,1.0,0.16199999999999998,0.16199999999999998,0.43,0.43,0.46,0.26,0.32999999999999996,0.375,0.0,0.5,0.25,0.84,0.56,0.25,0.25,0.56,0.56,0.77,0.35,0.8,0.34,0.13,0.95,-0.016,0.02,-0.007
0.0,0.0,0.0,0.0,1.0,1.0,0.16199999999999998,0.16199999999999998,0.43,0.43,0.48,0.24,0.31499999999999995,0.36,0.0,0.51,0.25,0.84,0.56,0.25,0.25,0.56,0.56,0.76,0.35,0.79,0.34,0.12,0.9,-0.049,0.024,0.021
0.0,0.0,0.0,0.0,1.0,1.0,0.16199999999999998,0.16199999999999998,0.42,0.42,0.49,0.23,0.32999999999999996,0.36,0.0,0.5,0.25,0.84,0.56,0.25,0.25,0.56,0.56,0.77,0.35,0.79,0.34,0.11,0.71,-0.051,0.031,0.04
0.0,0.0,0.0,0.0,1.0,1.0,0.16199999999999998,0.16199999999999998,0.43,0.43,0.51,0.22,0.345,0.375,0.0,0.49,0.25,0.83,0.56,0.25,0.25,0.56,0.56,0.78,0.35,0.8,0.34,0.11,0.63,-0.045,0.039,0.052
0.0,0.0,0.0,0.0,1.0,1.0,0.16199999999999998,0.16199999999999998,0.42,0.42,0.49,0.24,0.36,0.39,0.0,0.5,0.25,0.84,0.56,0.25,0.25,0.56,0.56,0.79,0.34,0.81,0.34,0.1,0.7,-0.065,0.043,0.045
0.0,0.0,0.0,0.0,1.0,1.0,0.16199999999999998,0.16199999999999998,0.42,0.42,0.45,0.27,0.375,0.40499999999999986,0.0,0.5,0.25,0.84,0.56,0.25,0.25,0.56,0.56,0.8,0.34,0.82,0.33,0.1,0.7,-0.095,0.042,0.009
0.0,0.0,0.0,0.0,1.0,1.0,0.16199999999999998,0.16199999999999998,0.43,0.43,0.4,0.32,0.39,0.4199999999999999,0.0,0.46,0.25,0.81,0.56,0.25,0.25,0.56,0.56,0.81,0.33,0.83,0.33,0.1,0.65,-0.102,0.042,-0.019
0.0,0.0,0.0,0.0,1.0,1.0,0.16199999999999998,0.16199999999999998,0.44,0.44,0.38,0.35,0.40499999999999986,0.4199999999999999,0.0,0.46,0.25,0.81,0.56,0.25,0.25,0.56,0.56,0.82,0.33,0.83,0.32,0.12,0.61,-0.129,0.04,-0.042
0.0,0.0,0.0,0.0,1.0,1.0,0.16199999999999998,0.16199999999999998,0.44,0.44,0.31,0.41,0.40499999999999986,0.4199999999999999,0.0,0.45,0.255,0.8,0.56,0.26,0.25,0.56,0.56,0.82,0.33,0.83,0.33,0.13,0.48,-0.134,0.038,-0.057
0.0,0.0,0.0,0.0,1.0,1.0,0.16199999999999998,0.16199999999999998,0.45,0.44,0.29,0.43,0.40499999999999986,0.4199999999999999,0.0,0.45,0.26,0.8,0.56,0.27,0.25,0.56,0.56,0.82,0.33,0.83,0.33,0.13,0.38,-0.154,0.04,-0.06
0.0,0.0,0.0,0.0,1.0,1.0,0.16199999999999998,0.16199999999999998,0.45,0.45,0.3,0.42,0.39,0.4199999999999999,0.0,0.47,0.25,0.82,0.56,0.25,0.25,0.56,0.56,0.81,0.33,0.83,0.33,0.13,0.42,-0.148,0.04,-0.056
0.0,0.0,0.0,0.0,1.0,1.0,0.16199999999999998,0.16199999999999998,0.44,0.44,0.34,0.38,0.375,0.4199999999999999,0.0,0.48,0.25,0.82,0.56,0.25,0.25,0.56,0.56,0.8,0.34,0.83,0.33,0.13,0.45,-0.137,0.038,-0.03
0.0,0.0,0.0,0.0,1.0,1.0,0.16199999999999998,0.16199999999999998,0.43,0.43,0.36,0.36,0.375,0.40499999999999986,0.0,0.48,0.25,0.82,0.56,0.25,0.25,0.56,0.56,0.8,0.34,0.82,0.33,0.13,0.44,-0.133,0.042,-0.002
0.0,0.0,0.0,0.0,1.0,1.0,0.16199999999999998,0.16199999999999998,0.43,0.43,0.39,0.34,0.375,0.40499999999999986,0.0,0.5,0.25,0.84,0.56,0.25,0.25,0.56,0.56,0.8,0.34,0.82,0.33,0.13,0.38,-0.12,0.048,0.016
0.0,0.0,0.0,0.0,1.0,1.0,0.16199999999999998,0.16199999999999998,0.44,0.44,0.41,0.31,0.375,0.4199999999999999,0.0,0.52,0.25,0.85,0.56,0.25,0.25,0.56,0.56,0.8,0.34,0.83,0.33,0.13,0.28,-0.119,0.054,0.032
0.0,0.0,0.0,0.0,1.0,1.0,0.16199999999999998,0.16199999999999998,0.44,0.44,0.36,0.36,0.40499999999999986,0.4499999999999999,0.0,0.5,0.25,0.84,0.56,0.25,0.25,0.56,0.56,0.82,0.33,0.85,0.32,0.14,0.14,-0.121,0.055,0.05
