face_1,face_2,face_3,face_4,face_5,face_6,face_7,face_8,face_9,face_10,face_11,face_12,face_13,face_14,face_15,face_16,face_17,face_18,face_19,face_20,face_21,face_22,face_23,face_24,face_25,face_26,face_27,face_28,face_29,neck_1,neck_2,neck_3
0.58,0.58,1.0,1.0,0.96,0.96,0.16199999999999998,0.16199999999999998,0.47,0.47,0.36,0.36,0.0,0.0,1.0,0.41,0.93,0.77,0.54,0.93,0.93,0.54,0.54,0.41,0.72,0.41,0.72,0.1,0.89,0.01,0.042,-0.067
0.57,0.57,1.0,1.0,0.97,0.97,0.16199999999999998,0.16199999999999998,0.46,0.46,0.39,0.33,0.18,0.10499999999999993,1.0,0.3,0.94,0.69,0.28,0.94,0.94,0.28,0.28,0.67,0.4,0.62,0.42,0.08,0.68,0.027,0.042,-0.037
0.57,0.57,1.0,1.0,0.97,0.97,0.16199999999999998,0.16199999999999998,0.48,0.48,0.36,0.36,0.0,0.0,1.0,0.4,0.94,0.76,0.5,0.94,0.94,0.5,0.5,0.43,0.69,0.43,0.68,0.1,0.86,0.022,0.036,-0.057
0.57,0.57,1.0,1.0,0.97,0.97,0.16199999999999998,0.16199999999999998,0.48,0.48,0.36,0.36,0.0,0.0,1.0,0.42,0.94,0.78,0.52,0.94,0.94,0.52,0.52,0.41,0.71,0.41,0.71,0.1,0.81,0.027,0.038,-0.052
0.58,0.58,1.0,1.0,0.96,0.96,0.8869203734397888,0.886852662563324,0.32,0.32,0.36,0.36,0.0,0.0,1.0,0.41,0.9,0.77,0.51,0.9,0.9,0.51,0.51,0.46,0.63,0.47,0.61,0.1,0.42,0.032,0.041,-0.046
0.61,0.61,1.0,1.0,0.93,0.93,0.16199999999999998,0.16199999999999998,0.42,0.42,0.37,0.35,0.0,0.0,1.0,0.42,0.92,0.78,0.53,0.92,0.92,0.53,0.53,0.43,0.69,0.43,0.69,0.1,0.59,0.043,0.048,-0.03
0.68,0.68,1.0,1.0,0.88,0.88,0.16199999999999998,0.16199999999999998,0.43,0.43,0.41,0.31,0.0,0.0,1.0,0.42,0.93,0.78,0.55,0.93,0.93,0.55,0.55,0.42,0.71,0.42,0.71,0.12,0.63,0.04,0.053,-0.027
0.73,0.73,1.0,1.0,0.84,0.84,0.16199999999999998,0.16199999999999998,0.42,0.42,0.44,0.28,0.0,0.0,1.0,0.43,0.935,0.78,0.56,0.93,0.94,0.56,0.56,0.4,0.75,0.4,0.74,0.15,0.85,0.039,0.055,0.001
0.8,0.8,1.0,1.0,0.78,0.78,0.16199999999999998,0.16199999999999998,0.4,0.4,0.45,0.27,0.0,0.0,1.0,0.43,0.94,0.78,0.56,0.94,0.94,0.56,0.56,0.39,0.76,0.4,0.75,0.17,0.85,0.034,0.06,0.028
0.92,0.92,1.0,1.0,0.68,0.68,0.16199999999999998,0.16199999999999998,0.34,0.34,0.44,0.28,0.0,0.0,1.0,0.45,0.96,0.8,0.56,0.96,0.96,0.56,0.56,0.34,0.86,0.35,0.84,0.2,0.86,0.04,0.064,0.042
0.92,0.92,1.0,1.0,0.68,0.68,0.16199999999999998,0.16199999999999998,0.33,0.33,0.43,0.3,0.0,0.0,1.0,0.44,0.97,0.79,0.56,0.97,0.97,0.56,0.56,0.34,0.85,0.35,0.84,0.2,0.93,0.036,0.061,0.04
0.92,0.92,1.0,1.0,0.68,0.68,0.6090849447250366,0.6070047426223755,0.22,0.22,0.39,0.33,0.0,0.0,1.0,0.5,0.925,0.84,0.54,0.92,0.93,0.54,0.54,0.45,0.65,0.44,0.66,0.17,0.29,0.041,0.055,0.036
0.88,0.88,1.0,1.0,0.71,0.71,0.16199999999999998,0.16199999999999998,0.37,0.37,0.38,0.34,0.0,0.0,1.0,0.5,0.925,0.84,0.56,0.92,0.93,0.56,0.56,0.42,0.71,0.42,0.71,0.16,0.64,0.051,0.05,0.031
0.76,0.76,1.0,1.0,0.81,0.81,0.16199999999999998,0.16199999999999998,0.38,0.38,0.37,0.35,0.0,0.0,1.0,0.46,0.925,0.81,0.56,0.92,0.93,0.56,0.56,0.42,0.71,0.42,0.71,0.16,0.76,0.051,0.039,0.013
0.63,0.63,1.0,1.0,0.92,0.92,0.16199999999999998,0.16199999999999998,0.41,0.41,0.35,0.37,0.0,0.0,1.0,0.43,0.925,0.78,0.56,0.92,0.93,0.56,0.56,0.42,0.71,0.42,0.71,0.14,0.72,0.07,0.032,-0.0
0.62,0.62,1.0,1.0,0.93,0.93,0.16199999999999998,0.16199999999999998,0.42,0.42,0.34,0.38,0.0,0.0,1.0,0.42,0.925,0.78,0.56,0.92,0.93,0.56,0.56,0.41,0.72,0.41,0.72,0.15,0.97,0.08,0.02,-0.011
0.62,0.62,1.0,1.0,0.93,0.93,0.16199999999999998,0.16199999999999998,0.44,0.44,0.33,0.39,0.0,0.0,1.0,0.4,0.89,0.76,0.56,0.88,0.9,0.56,0.56,0.32,0.9,0.32,0.89,0.15,1.0,0.071,0.006,-0.031
0.61,0.61,1.0,1.0,0.94,0.94,0.16199999999999998,0.16199999999999998,0.46,0.46,0.34,0.38,0.0,0.0,1.0,0.41,0.88,0.77,0.56,0.87,0.89,0.56,0.56,0.31,0.92,0.31,0.91,0.16,1.0,0.055,-0.001,-0.041
0.6,0.6,1.0,1.0,0.95,0.95,0.16199999999999998,0.16199999999999998,0.55,0.55,0.49,0.24,0.0,0.0,1.0,0.41,0.88,0.77,0.56,0.87,0.89,0.56,0.56,0.31,0.92,0.31,0.92,0.17,1.0,0.025,-0.008,-0.052
0.6,0.6,1.0,1.0,0.94,0.94,0.16199999999999998,0.16199999999999998,0.55,0.55,0.49,0.24,0.0,0.0,1.0,0.41,0.88,0.77,0.56,0.87,0.89,0.56,0.56,0.32,0.9,0.32,0.9,0.18,1.0,0.015,-0.007,-0.052
0.6,0.6,1.0,1.0,0.94,0.94,0.16199999999999998,0.16199999999999998,0.58,0.58,0.55,0.18,0.0,0.0,1.0,0.43,0.88,0.78,0.56,0.87,0.89,0.56,0.56,0.31,0.92,0.31,0.92,0.19,1.0,-0.011,-0.01,-0.051
0.6,0.6,1.0,1.0,0.94,0.94,0.16199999999999998,0.16199999999999998,0.58,0.58,0.56,0.17,0.0,0.0,1.0,0.43,0.885,0.78,0.56,0.88,0.89,0.56,0.56,0.32,0.89,0.33,0.88,0.19,1.0,-0.008,-0.012,-0.055
0.61,0.61,1.0,1.0,0.94,0.94,0.16199999999999998,0.16199999999999998,0.47,0.47,0.38,0.34,0.0,0.0,1.0,0.42,0.88,0.78,0.56,0.87,0.89,0.56,0.56,0.31,0.91,0.32,0.9,0.19,1.0,-0.003,-0.014,-0.055
0.61,0.61,1.0,1.0,0.94,0.94,0.16199999999999998,0.16199999999999998,0.44,0.44,0.36,0.36,0.0,0.0,1.0,0.4,0.87,0.76,0.56,0.86,0.88,0.56,0.56,0.35,0.84,0.35,0.83,0.19,1.0,0.016,-0.013,-0.052
0.61,0.61,1.0,1.0,0.93,0.93,0.16199999999999998,0.16199999999999998,0.44,0.44,0.35,0.37,0.0,0.0,1.0,0.39,0.87,0.76,0.56,0.86,0.88,0.56,0.56,0.37,0.8,0.37,0.79,0.19,1.0,0.039,-0.012,-0.053
0.61,0.61,1.0,1.0,0.93,0.93,0.16199999999999998,0.16199999999999998,0.44,0.44,0.36,0.36,0.0,0.0,1.0,0.39,0.86,0.76,0.56,0.85,0.87,0.56,0.56,0.4,0.74,0.41,0.73,0.19,1.0,0.078,-0.005,-0.052
0.61,0.61,1.0,1.0,0.94,0.94,0.16199999999999998,0.16199999999999998,0.44,0.44,0.37,0.36,0.0,0.0,1.0,0.39,0.86,0.76,0.56,0.85,0.87,0.56,0.56,0.4,0.74,0.41,0.73,0.19,0.91,0.083,0.003,-0.055
0.59,0.59,1.0,1.0,0.95,0.95,0.1824150788784027,0.18171381533145903,0.37,0.37,0.37,0.35,0.0,0.0,1.0,0.39,0.835,0.76,0.56,0.83,0.84,0.56,0.56,0.45,0.65,0.46,0.63,0.16,0.61,0.089,0.009,-0.056
0.58,0.58,1.0,1.0,0.96,0.96,0.30214799523353575,0.3014002251625061,0.31,0.31,0.38,0.34,0.0,0.0,1.0,0.39,0.815,0.75,0.56,0.81,0.82,0.56,0.56,0.46,0.62,0.47,0.6,0.13,0.72,0.086,0.01,-0.053
0.58,0.58,1.0,1.0,0.96,0.96,0.2784632849693298,0.2777980375289917,0.31,0.31,0.39,0.33,0.0,0.0,1.0,0.39,0.815,0.75,0.56,0.81,0.82,0.56,0.56,0.47,0.61,0.47,0.6,0.12,0.72,0.091,0.014,-0.04
0.58,0.58,1.0,1.0,0.96,0.96,0.2661258089542389,0.2655008542537689,0.32,0.32,0.39,0.33,0.0,0.0,1.0,0.39,0.805,0.75,0.56,0.8,0.81,0.56,0.56,0.46,0.62,0.47,0.6,0.12,0.64,0.099,0.019,-0.029
0.58,0.58,1.0,1.0,0.96,0.96,0.26289660811424254,0.26224524855613707,0.32,0.32,0.39,0.33,0.0,0.0,1.0,0.38,0.81,0.75,0.56,0.81,0.81,0.56,0.56,0.48,0.58,0.49,0.57,0.12,0.63,0.093,0.023,-0.025
