start livelink
[0.178, -0.023, 0.055]
[0.173, -0.023, 0.054]
[0.162, -0.021, 0.053]
[0.162, -0.021, 0.053]
[0.155, -0.02, 0.052]
[0.148, -0.02, 0.052]
[0.143, -0.019, 0.052]
[0.138, -0.019, 0.051]
[0.135, -0.018, 0.05]
[0.133, -0.018, 0.049]
[0.128, -0.017, 0.049]
[0.128, -0.017, 0.049]
[0.124, -0.017, 0.049]
[0.118, -0.017, 0.049]
[0.114, -0.017, 0.048]
[0.112, -0.017, 0.048]
[0.109, -0.017, 0.047]
[0.109, -0.017, 0.047]
[0.108, -0.015, 0.047]
[0.108, -0.015, 0.047]
[0.111, -0.014, 0.046]
[0.113, -0.013, 0.046]
[0.117, -0.012, 0.045]
[0.117, -0.012, 0.045]
[0.117, -0.011, 0.045]
[0.117, -0.011, 0.045]
[0.119, -0.011, 0.046]
[0.119, -0.011, 0.046]
[0.121, -0.011, 0.047]
[0.121, -0.012, 0.047]
[0.122, -0.012, 0.047]
[0.122, -0.013, 0.048]
[0.122, -0.014, 0.05]
[0.124, -0.015, 0.051]
[0.128, -0.015, 0.052]
[0.128, -0.015, 0.052]
[0.132, -0.015, 0.052]
[0.135, -0.015, 0.052]
[0.139, -0.015, 0.052]
[0.139, -0.015, 0.052]
[0.141, -0.014, 0.053]
[0.144, -0.014, 0.054]
[0.151, -0.016, 0.053]
[0.151, -0.016, 0.053]
[0.154, -0.017, 0.053]
[0.156, -0.017, 0.052]
[0.161, -0.018, 0.051]
[0.161, -0.018, 0.051]
[0.162, -0.018, 0.05]
[0.164, -0.018, 0.05]
[0.166, -0.019, 0.05]
[0.168, -0.019, 0.05]
[0.169, -0.019, 0.051]
[0.17, -0.019, 0.051]
[0.174, -0.019, 0.053]
[0.174, -0.019, 0.053]
[0.177, -0.02, 0.055]
[0.18, -0.02, 0.057]
[0.182, -0.021, 0.062]
[0.182, -0.021, 0.062]
[0.181, -0.021, 0.063]
[0.18, -0.022, 0.064]
[0.184, -0.023, 0.065]
[0.184, -0.023, 0.065]
[0.188, -0.023, 0.067]
[0.193, -0.023, 0.07]
[0.195, -0.022, 0.074]
[0.195, -0.022, 0.079]
[0.197, -0.022, 0.083]
[0.198, -0.022, 0.087]
[0.2, -0.022, 0.094]
[0.2, -0.022, 0.094]
[0.2, -0.021, 0.098]
[0.2, -0.021, 0.102]
[0.201, -0.02, 0.109]
[0.201, -0.02, 0.109]
[0.202, -0.02, 0.113]
[0.204, -0.02, 0.117]
[0.207, -0.02, 0.124]
[0.207, -0.02, 0.124]
[0.207, -0.02, 0.127]
[0.209, -0.02, 0.129]
[0.211, -0.02, 0.132]
[0.211, -0.02, 0.132]
[0.214, -0.021, 0.133]
[0.217, -0.02, 0.134]
[0.218, -0.02, 0.135]
[0.219, -0.02, 0.135]
[0.219, -0.02, 0.136]
[0.216, -0.021, 0.136]
[0.212, -0.022, 0.137]
[0.212, -0.022, 0.137]
[0.212, -0.022, 0.138]
[0.213, -0.021, 0.139]
[0.219, -0.02, 0.142]
[0.219, -0.02, 0.142]
[0.221, -0.02, 0.142]
[0.223, -0.019, 0.143]
[0.223, -0.019, 0.143]
[0.223, -0.019, 0.143]
[0.221, -0.02, 0.143]
[0.22, -0.02, 0.143]
[0.217, -0.021, 0.141]
[0.217, -0.021, 0.141]
[0.216, -0.021, 0.141]
[0.215, -0.022, 0.141]
[0.215, -0.022, 0.141]
[0.215, -0.021, 0.14]
[0.214, -0.021, 0.139]
[0.216, -0.02, 0.137]
[0.22, -0.02, 0.136]
[0.22, -0.02, 0.136]
[0.223, -0.02, 0.134]
[0.223, -0.02, 0.133]
[0.218, -0.022, 0.129]
[0.218, -0.022, 0.129]
[0.215, -0.023, 0.127]
[0.214, -0.023, 0.125]
[0.211, -0.024, 0.119]
[0.211, -0.024, 0.119]
[0.21, -0.024, 0.116]
[0.209, -0.024, 0.113]
[0.208, -0.024, 0.107]
[0.206, -0.024, 0.101]
[0.204, -0.023, 0.095]
[0.203, -0.023, 0.087]
[0.202, -0.022, 0.08]
[0.202, -0.021, 0.073]
[0.202, -0.021, 0.065]
[0.202, -0.022, 0.058]
[0.203, -0.022, 0.051]
[0.203, -0.023, 0.044]
[0.202, -0.023, 0.038]
[0.201, -0.024, 0.032]
[0.199, -0.025, 0.026]
[0.2, -0.026, 0.021]
[0.201, -0.028, 0.017]
[0.202, -0.029, 0.013]
