face_1,face_2,face_3,face_4,face_5,face_6,face_7,face_8,face_9,face_10,face_11,face_12,face_13,face_14,face_15,face_16,face_17,face_18,face_19,face_20,face_21,face_22,face_23,face_24,face_25,face_26,face_27,face_28,face_29,neck_1,neck_2,neck_3
0.44,0.44,0.78,0.78,1.0,1.0,0.16199999999999998,0.16199999999999998,0.47,0.47,0.39,0.34,0.11999999999999994,0.11999999999999994,1.0,0.23,0.98,0.64,0.27,0.98,0.98,0.27,0.27,0.63,0.41,0.63,0.41,0.02,0.6,-0.038,0.011,-0.088
0.38,0.38,0.64,0.64,1.0,1.0,0.16199999999999998,0.16199999999999998,0.4,0.4,0.36,0.36,0.20999999999999985,0.18,1.0,0.26,0.895,0.66,0.26,0.89,0.9,0.26,0.26,0.69,0.39,0.67,0.4,0.04,0.23,-0.013,0.014,-0.082
0.44,0.44,0.79,0.79,1.0,1.0,0.16199999999999998,0.16199999999999998,0.42,0.42,0.34,0.38,0.11999999999999994,0.10499999999999993,1.0,0.23,0.98,0.64,0.27,0.98,0.98,0.27,0.27,0.63,0.41,0.62,0.42,0.02,0.61,0.009,0.027,-0.056
0.45,0.45,0.82,0.82,1.0,1.0,0.16199999999999998,0.16199999999999998,0.43,0.43,0.35,0.37,0.11999999999999994,0.11999999999999994,1.0,0.23,0.985,0.63,0.26,0.98,0.99,0.26,0.26,0.63,0.41,0.63,0.42,0.02,0.6,0.018,0.021,-0.05
0.46,0.46,0.83,0.83,1.0,1.0,0.16199999999999998,0.16199999999999998,0.43,0.43,0.35,0.37,0.11999999999999994,0.11999999999999994,1.0,0.23,0.985,0.63,0.26,0.98,0.99,0.26,0.26,0.63,0.41,0.63,0.41,0.02,0.58,0.016,0.028,-0.046
0.42,0.42,0.74,0.74,1.0,1.0,0.7576396870613098,0.7440431523323059,0.21,0.21,0.36,0.37,0.13499999999999995,0.16499999999999998,1.0,0.24,0.96,0.64,0.29,0.96,0.96,0.29,0.29,0.64,0.41,0.66,0.4,0.02,0.56,0.023,0.031,-0.036
0.46,0.46,0.84,0.84,1.0,1.0,0.16199999999999998,0.16199999999999998,0.43,0.43,0.37,0.35,0.13499999999999995,0.13499999999999995,1.0,0.24,0.98,0.64,0.26,0.98,0.98,0.26,0.26,0.64,0.41,0.64,0.41,0.02,0.56,0.039,0.036,-0.024
0.47,0.47,0.85,0.85,1.0,1.0,0.16199999999999998,0.16199999999999998,0.41,0.41,0.37,0.35,0.13499999999999995,0.13499999999999995,1.0,0.23,0.98,0.63,0.26,0.98,0.98,0.26,0.26,0.64,0.41,0.64,0.41,0.02,0.56,0.088,0.037,-0.018
0.5,0.5,0.92,0.92,1.0,1.0,0.16199999999999998,0.16199999999999998,0.37,0.37,0.37,0.35,0.11999999999999994,0.13499999999999995,1.0,0.22,0.99,0.63,0.25,0.99,0.99,0.25,0.25,0.63,0.41,0.64,0.41,0.01,0.58,0.133,0.041,-0.017
0.48,0.48,0.89,0.89,1.0,1.0,0.5513881850242615,0.5490919160842895,0.14,0.14,0.4,0.33,0.13499999999999995,0.13499999999999995,1.0,0.22,0.99,0.63,0.26,0.99,0.99,0.26,0.26,0.64,0.41,0.64,0.41,0.01,0.58,0.169,0.046,-0.007
