start livelink
[0.08, 0.028, 0.001]
[0.08, 0.028, 0.001]
[0.078, 0.026, -0.0]
[0.076, 0.024, -0.002]
[0.072, 0.019, -0.005]
[0.072, 0.019, -0.005]
[0.071, 0.017, -0.007]
[0.071, 0.015, -0.009]
[0.071, 0.013, -0.011]
[0.069, 0.011, -0.014]
[0.068, 0.009, -0.017]
[0.066, 0.006, -0.02]
[0.065, 0.004, -0.023]
[0.064, 0.002, -0.026]
[0.063, 0.0, -0.03]
[0.062, -0.001, -0.034]
[0.06, -0.002, -0.038]
[0.059, -0.004, -0.041]
[0.058, -0.005, -0.043]
[0.058, -0.006, -0.045]
[0.057, -0.007, -0.048]
[0.056, -0.009, -0.05]
[0.053, -0.011, -0.052]
[0.053, -0.011, -0.052]
[0.052, -0.013, -0.052]
[0.051, -0.015, -0.053]
[0.052, -0.017, -0.055]
[0.053, -0.02, -0.058]
[0.052, -0.022, -0.064]
[0.052, -0.024, -0.069]
[0.048, -0.025, -0.075]
[0.047, -0.027, -0.08]
[0.046, -0.029, -0.086]
[0.045, -0.03, -0.091]
[0.045, -0.031, -0.096]
[0.044, -0.032, -0.102]
[0.043, -0.033, -0.106]
[0.042, -0.034, -0.112]
[0.038, -0.036, -0.117]
[0.036, -0.037, -0.122]
[0.031, -0.038, -0.129]
[0.026, -0.039, -0.135]
[0.023, -0.04, -0.142]
[0.018, -0.041, -0.148]
[0.013, -0.043, -0.155]
[0.011, -0.045, -0.16]
[0.009, -0.048, -0.169]
[0.009, -0.048, -0.169]
[0.01, -0.049, -0.172]
[0.009, -0.05, -0.176]
[0.008, -0.05, -0.179]
[0.008, -0.05, -0.182]
[0.008, -0.049, -0.185]
[0.008, -0.049, -0.186]
[0.008, -0.048, -0.188]
[0.008, -0.046, -0.19]
[0.006, -0.044, -0.191]
[0.005, -0.042, -0.192]
[0.003, -0.037, -0.189]
[0.003, -0.037, -0.189]
[0.002, -0.034, -0.187]
[0.0, -0.031, -0.184]
[-0.002, -0.028, -0.179]
[-0.003, -0.024, -0.174]
[-0.005, -0.021, -0.169]
[-0.004, -0.018, -0.162]
[0.001, -0.012, -0.145]
[0.002, -0.009, -0.135]
[0.002, -0.009, -0.135]
[0.0, -0.006, -0.125]
[-0.003, -0.004, -0.115]
[-0.003, -0.002, -0.108]
[-0.003, -0.0, -0.101]
[-0.0, 0.001, -0.094]
[0.001, 0.003, -0.089]
[0.0, 0.005, -0.084]
[0.002, 0.008, -0.079]
[0.003, 0.01, -0.075]
[0.003, 0.013, -0.072]
[0.004, 0.016, -0.069]
[0.003, 0.018, -0.067]
[0.003, 0.019, -0.064]
[0.004, 0.021, -0.06]
[0.005, 0.022, -0.057]
[0.007, 0.024, -0.055]
[0.008, 0.026, -0.053]
[0.009, 0.027, -0.051]
[0.011, 0.029, -0.049]
[0.013, 0.03, -0.048]
[0.016, 0.031, -0.046]
[0.019, 0.033, -0.044]
[0.021, 0.034, -0.042]
[0.023, 0.035, -0.039]
[0.025, 0.036, -0.036]
[0.026, 0.036, -0.034]
[0.026, 0.037, -0.032]
[0.026, 0.037, -0.03]
[0.026, 0.038, -0.028]
[0.026, 0.038, -0.025]
[0.025, 0.038, -0.021]
[0.025, 0.039, -0.017]
[0.026, 0.04, -0.014]
[0.026, 0.042, -0.008]
[0.026, 0.042, -0.008]
[0.027, 0.043, -0.006]
[0.03, 0.045, -0.004]
[0.038, 0.047, 0.0]
[0.038, 0.047, 0.0]
[0.041, 0.048, 0.003]
[0.043, 0.049, 0.005]
[0.045, 0.05, 0.009]
[0.047, 0.051, 0.012]
[0.049, 0.052, 0.015]
[0.05, 0.054, 0.018]
[0.052, 0.055, 0.021]
[0.054, 0.057, 0.024]
[0.058, 0.058, 0.027]
[0.059, 0.06, 0.03]
[0.058, 0.061, 0.033]
[0.058, 0.063, 0.036]
[0.056, 0.065, 0.039]
[0.055, 0.066, 0.042]
[0.055, 0.068, 0.045]
[0.055, 0.068, 0.047]
[0.056, 0.069, 0.049]
[0.057, 0.069, 0.05]
[0.059, 0.069, 0.051]
[0.059, 0.069, 0.051]
[0.059, 0.069, 0.052]
[0.059, 0.069, 0.053]
[0.059, 0.069, 0.053]
[0.06, 0.068, 0.054]
[0.06, 0.068, 0.054]
[0.062, 0.068, 0.054]
[0.064, 0.067, 0.053]
[0.065, 0.066, 0.052]
[0.066, 0.066, 0.05]
[0.068, 0.065, 0.049]
[0.068, 0.065, 0.049]
[0.068, 0.064, 0.048]
[0.069, 0.064, 0.047]
[0.069, 0.063, 0.045]
[0.071, 0.061, 0.042]
[0.071, 0.061, 0.042]
[0.072, 0.061, 0.041]
[0.073, 0.06, 0.04]
[0.074, 0.059, 0.038]
[0.074, 0.059, 0.038]
[0.073, 0.058, 0.037]
[0.072, 0.057, 0.036]
[0.071, 0.057, 0.035]
[0.07, 0.056, 0.034]
[0.069, 0.055, 0.034]
[0.069, 0.055, 0.033]
[0.069, 0.054, 0.032]
[0.069, 0.052, 0.03]
[0.066, 0.051, 0.027]
[0.064, 0.049, 0.024]
[0.06, 0.047, 0.021]
[0.056, 0.046, 0.018]
[0.054, 0.044, 0.015]
[0.051, 0.043, 0.012]
[0.05, 0.041, 0.01]
[0.048, 0.039, 0.008]
[0.045, 0.036, 0.005]
[0.042, 0.034, 0.003]
[0.04, 0.032, -0.0]
[0.038, 0.03, -0.004]
[0.039, 0.028, -0.009]
[0.04, 0.026, -0.012]
[0.039, 0.022, -0.019]
[0.039, 0.022, -0.019]
[0.038, 0.02, -0.022]
[0.038, 0.018, -0.023]
[0.038, 0.017, -0.025]
[0.039, 0.015, -0.027]
[0.039, 0.013, -0.03]
[0.038, 0.011, -0.033]
[0.037, 0.01, -0.037]
[0.035, 0.007, -0.047]
[0.035, 0.007, -0.047]
[0.034, 0.006, -0.051]
[0.032, 0.004, -0.054]
[0.029, 0.002, -0.056]
[0.025, 0.0, -0.059]
[0.021, -0.002, -0.062]
[0.018, -0.004, -0.067]
[0.018, -0.006, -0.072]
[0.017, -0.007, -0.076]
[0.014, -0.008, -0.082]
[0.012, -0.01, -0.087]
[0.009, -0.011, -0.091]
[0.008, -0.012, -0.094]
[0.008, -0.013, -0.097]
[0.008, -0.014, -0.099]
[0.009, -0.015, -0.101]
[0.009, -0.017, -0.104]
[0.01, -0.018, -0.105]
[0.01, -0.019, -0.106]
[0.008, -0.02, -0.108]
[0.007, -0.02, -0.109]
[0.006, -0.021, -0.109]
[0.008, -0.021, -0.109]
[0.01, -0.021, -0.109]
[0.012, -0.021, -0.108]
[0.012, -0.02, -0.107]
[0.011, -0.02, -0.105]
[0.011, -0.02, -0.104]
[0.01, -0.019, -0.103]
[0.009, -0.019, -0.103]
[0.009, -0.018, -0.103]
[0.009, -0.018, -0.103]
[0.01, -0.018, -0.103]
[0.012, -0.018, -0.103]
[0.013, -0.017, -0.103]
[0.013, -0.017, -0.103]
[0.011, -0.017, -0.102]
[0.009, -0.016, -0.102]
[0.007, -0.016, -0.101]
[0.005, -0.016, -0.101]
[0.005, -0.015, -0.101]
[0.007, -0.015, -0.101]
[0.009, -0.014, -0.1]
[0.012, -0.013, -0.099]
[0.014, -0.013, -0.098]
[0.016, -0.012, -0.096]
[0.019, -0.011, -0.094]
[0.019, -0.009, -0.093]
[0.019, -0.008, -0.093]
[0.018, -0.007, -0.091]
[0.015, -0.007, -0.09]
[0.012, -0.006, -0.088]
[0.006, -0.006, -0.086]
[0.002, -0.005, -0.085]
[-0.002, -0.004, -0.084]
[-0.007, -0.002, -0.082]
[-0.009, -0.001, -0.08]
[-0.011, 0.001, -0.078]
[-0.014, 0.002, -0.075]
[-0.017, 0.004, -0.074]
[-0.021, 0.005, -0.073]
[-0.025, 0.007, -0.072]
[-0.028, 0.009, -0.072]
[-0.03, 0.01, -0.07]
[-0.03, 0.012, -0.069]
[-0.03, 0.014, -0.068]
[-0.03, 0.015, -0.067]
[-0.031, 0.016, -0.067]
[-0.037, 0.017, -0.067]
[-0.042, 0.018, -0.068]
[-0.052, 0.019, -0.068]
[-0.067, 0.019, -0.068]
[-0.067, 0.019, -0.068]
[-0.075, 0.02, -0.068]
[-0.079, 0.02, -0.068]
[-0.084, 0.021, -0.069]
[-0.09, 0.022, -0.069]
[-0.097, 0.023, -0.068]
[-0.109, 0.023, -0.066]
[-0.129, 0.024, -0.061]
[-0.129, 0.024, -0.061]
[-0.136, 0.024, -0.058]
[-0.138, 0.025, -0.055]
[-0.139, 0.025, -0.051]
[-0.141, 0.026, -0.049]
[-0.144, 0.026, -0.048]
[-0.15, 0.025, -0.048]
[-0.157, 0.025, -0.049]
[-0.162, 0.024, -0.049]
[-0.166, 0.024, -0.048]
[-0.167, 0.025, -0.048]
[-0.167, 0.026, -0.047]
[-0.165, 0.027, -0.047]
[-0.163, 0.028, -0.046]
[-0.163, 0.028, -0.046]
[-0.164, 0.029, -0.046]
[-0.165, 0.029, -0.045]
[-0.167, 0.029, -0.045]
[-0.167, 0.029, -0.044]
[-0.166, 0.03, -0.044]
[-0.164, 0.029, -0.043]
[-0.163, 0.029, -0.042]
[-0.164, 0.029, -0.04]
[-0.166, 0.03, -0.038]
[-0.167, 0.031, -0.036]
[-0.167, 0.033, -0.033]
[-0.162, 0.034, -0.031]
[-0.147, 0.035, -0.03]
[-0.147, 0.035, -0.03]
[-0.141, 0.035, -0.03]
[-0.137, 0.034, -0.03]
[-0.134, 0.033, -0.029]
[-0.129, 0.033, -0.027]
[-0.125, 0.033, -0.024]
[-0.121, 0.033, -0.023]
[-0.117, 0.033, -0.022]
[-0.116, 0.033, -0.021]
[-0.117, 0.033, -0.021]
[-0.117, 0.033, -0.021]
[-0.119, 0.033, -0.021]
[-0.121, 0.033, -0.02]
[-0.121, 0.033, -0.02]
[-0.122, 0.032, -0.02]
[-0.122, 0.032, -0.02]
[-0.123, 0.031, -0.02]
[-0.125, 0.031, -0.021]
[-0.127, 0.03, -0.02]
[-0.129, 0.03, -0.02]
[-0.131, 0.031, -0.02]
[-0.133, 0.031, -0.019]
[-0.135, 0.031, -0.019]
[-0.136, 0.032, -0.019]
[-0.136, 0.032, -0.018]
[-0.136, 0.032, -0.017]
[-0.136, 0.032, -0.017]
[-0.136, 0.032, -0.016]
[-0.137, 0.032, -0.015]
[-0.137, 0.033, -0.015]
[-0.136, 0.033, -0.014]
[-0.136, 0.033, -0.013]
[-0.135, 0.033, -0.012]
[-0.134, 0.032, -0.01]
[-0.134, 0.032, -0.008]
[-0.134, 0.033, -0.006]
[-0.134, 0.033, -0.004]
[-0.131, 0.033, -0.002]
[-0.128, 0.033, 0.001]
[-0.124, 0.033, 0.005]
[-0.119, 0.032, 0.01]
[-0.116, 0.032, 0.017]
[-0.112, 0.032, 0.024]
[-0.11, 0.032, 0.028]
[-0.107, 0.032, 0.033]
[-0.103, 0.033, 0.038]
[-0.099, 0.033, 0.043]
[-0.097, 0.033, 0.046]
[-0.098, 0.033, 0.047]
[-0.1, 0.033, 0.047]
[-0.101, 0.033, 0.047]
[-0.102, 0.033, 0.046]
[-0.104, 0.033, 0.044]
[-0.105, 0.033, 0.043]
[-0.107, 0.032, 0.04]
[-0.111, 0.032, 0.038]
[-0.114, 0.031, 0.036]
[-0.116, 0.03, 0.033]
[-0.117, 0.028, 0.031]
[-0.117, 0.027, 0.029]
[-0.117, 0.026, 0.027]
[-0.121, 0.025, 0.023]
[-0.13, 0.024, 0.018]
[-0.154, 0.021, 0.009]
[-0.164, 0.019, 0.002]
[-0.17, 0.018, -0.004]
[-0.176, 0.017, -0.01]
[-0.177, 0.016, -0.016]
[-0.18, 0.015, -0.022]
[-0.177, 0.015, -0.027]
[-0.173, 0.013, -0.031]
[-0.167, 0.012, -0.034]
[-0.163, 0.01, -0.037]
[-0.163, 0.009, -0.04]
[-0.164, 0.008, -0.042]
[-0.166, 0.007, -0.045]
[-0.167, 0.006, -0.047]
[-0.167, 0.004, -0.048]
[-0.167, 0.003, -0.05]
[-0.166, 0.002, -0.052]
[-0.166, 0.0, -0.053]
[-0.166, -0.001, -0.055]
[-0.166, -0.002, -0.055]
[-0.163, -0.004, -0.056]
[-0.161, -0.005, -0.056]
[-0.158, -0.006, -0.057]
[-0.155, -0.007, -0.057]
[-0.153, -0.008, -0.059]
[-0.149, -0.009, -0.061]
[-0.147, -0.01, -0.064]
[-0.146, -0.012, -0.067]
[-0.146, -0.014, -0.071]
[-0.147, -0.017, -0.074]
[-0.148, -0.019, -0.076]
[-0.149, -0.021, -0.078]
[-0.148, -0.023, -0.08]
[-0.147, -0.024, -0.082]
[-0.143, -0.025, -0.085]
[-0.139, -0.026, -0.087]
[-0.135, -0.028, -0.09]
[-0.133, -0.029, -0.092]
[-0.131, -0.031, -0.095]
[-0.13, -0.032, -0.096]
[-0.128, -0.033, -0.098]
[-0.125, -0.035, -0.099]
[-0.124, -0.035, -0.099]
[-0.121, -0.036, -0.099]
[-0.121, -0.036, -0.1]
[-0.119, -0.038, -0.103]
[-0.119, -0.038, -0.103]
[-0.116, -0.039, -0.105]
[-0.114, -0.041, -0.104]
[-0.116, -0.042, -0.103]
[-0.116, -0.042, -0.103]
[-0.119, -0.043, -0.104]
[-0.119, -0.042, -0.105]
[-0.118, -0.042, -0.107]
[-0.118, -0.042, -0.107]
[-0.116, -0.042, -0.106]
[-0.117, -0.042, -0.106]
[-0.117, -0.043, -0.105]
[-0.117, -0.043, -0.105]
[-0.117, -0.044, -0.103]
[-0.117, -0.044, -0.099]
[-0.112, -0.045, -0.088]
[-0.112, -0.045, -0.088]
[-0.108, -0.046, -0.083]
[-0.104, -0.046, -0.078]
[-0.099, -0.047, -0.072]
[-0.095, -0.047, -0.067]
[-0.092, -0.047, -0.062]
[-0.088, -0.047, -0.058]
[-0.085, -0.046, -0.05]
[-0.085, -0.046, -0.05]
[-0.084, -0.045, -0.046]
[-0.084, -0.044, -0.041]
[-0.077, -0.041, -0.032]
[-0.077, -0.041, -0.032]
[-0.075, -0.038, -0.029]
[-0.072, -0.035, -0.027]
[-0.07, -0.032, -0.025]
[-0.07, -0.03, -0.021]
[-0.067, -0.028, -0.016]
[-0.068, -0.025, -0.01]
[-0.067, -0.023, -0.006]
[-0.065, -0.021, -0.001]
[-0.063, -0.019, 0.003]
[-0.059, -0.017, 0.006]
[-0.056, -0.016, 0.009]
[-0.053, -0.014, 0.011]
[-0.049, -0.01, 0.017]
[-0.049, -0.01, 0.017]
[-0.047, -0.008, 0.021]
[-0.044, -0.006, 0.025]
[-0.04, -0.005, 0.028]
[-0.037, -0.003, 0.03]
[-0.032, -0.001, 0.032]
[-0.027, 0.002, 0.036]
[-0.027, 0.002, 0.036]
[-0.025, 0.003, 0.038]
[-0.025, 0.005, 0.039]
[-0.024, 0.008, 0.041]
[-0.024, 0.008, 0.041]
[-0.021, 0.009, 0.042]
[-0.02, 0.011, 0.044]
[-0.012, 0.014, 0.047]
[-0.012, 0.014, 0.047]
[-0.005, 0.015, 0.051]
[0.001, 0.016, 0.053]
[0.005, 0.018, 0.054]
