face_1,face_2,face_3,face_4,face_5,face_6,face_7,face_8,face_9,face_10,face_11,face_12,face_13,face_14,face_15,face_16,face_17,face_18,face_19,face_20,face_21,face_22,face_23,face_24,face_25,face_26,face_27,face_28,face_29,neck_1,neck_2,neck_3
0.43,0.43,0.78,0.78,1.0,1.0,0.16199999999999998,0.16199999999999998,0.43,0.43,0.34,0.38,0.11999999999999994,0.11999999999999994,1.0,0.22,0.99,0.63,0.25,0.99,0.99,0.25,0.25,0.63,0.41,0.63,0.41,0.01,0.58,0.051,0.011,-0.051
0.34,0.34,0.55,0.55,1.0,1.0,0.16199999999999998,0.16199999999999998,0.41,0.41,0.35,0.37,0.22499999999999987,0.14999999999999997,1.0,0.27,0.925,0.67,0.28,0.92,0.93,0.28,0.28,0.7,0.38,0.65,0.41,0.04,0.24,0.024,0.01,-0.056
0.42,0.42,0.73,0.73,1.0,1.0,0.16199999999999998,0.16199999999999998,0.44,0.44,0.34,0.38,0.11999999999999994,0.10499999999999993,1.0,0.23,0.98,0.64,0.26,0.98,0.98,0.26,0.26,0.63,0.42,0.62,0.42,0.02,0.55,0.068,0.014,-0.046
0.45,0.45,0.82,0.82,1.0,1.0,0.16199999999999998,0.16199999999999998,0.39,0.39,0.34,0.38,0.11999999999999994,0.11999999999999994,1.0,0.23,0.98,0.63,0.26,0.98,0.98,0.26,0.26,0.63,0.41,0.63,0.41,0.02,0.55,0.061,0.005,-0.042
0.43,0.43,0.77,0.77,1.0,1.0,0.16199999999999998,0.16199999999999998,0.39,0.39,0.34,0.38,0.11999999999999994,0.11999999999999994,1.0,0.23,0.98,0.63,0.26,0.98,0.98,0.26,0.26,0.63,0.41,0.63,0.41,0.01,0.55,0.07,0.007,-0.038
0.42,0.42,0.75,0.75,1.0,1.0,0.16199999999999998,0.16199999999999998,0.37,0.37,0.38,0.34,0.10499999999999993,0.11999999999999994,1.0,0.24,0.96,0.64,0.27,0.96,0.96,0.27,0.27,0.62,0.42,0.63,0.41,0.02,0.55,0.065,0.01,-0.032
0.44,0.44,0.79,0.79,1.0,1.0,0.16199999999999998,0.16199999999999998,0.38,0.38,0.43,0.29,0.10499999999999993,0.11999999999999994,1.0,0.23,0.98,0.63,0.26,0.98,0.98,0.26,0.26,0.62,0.42,0.63,0.42,0.01,0.54,0.061,0.029,-0.013
0.45,0.45,0.82,0.82,1.0,1.0,0.16199999999999998,0.16199999999999998,0.36,0.36,0.46,0.26,0.10499999999999993,0.10499999999999993,1.0,0.22,0.98,0.63,0.26,0.98,0.98,0.26,0.26,0.62,0.42,0.62,0.42,0.01,0.54,0.077,0.044,0.014
0.44,0.44,0.78,0.78,1.0,1.0,0.8063785243034363,0.8011084008216858,0.18,0.18,0.44,0.29,0.10499999999999993,0.11999999999999994,1.0,0.24,0.97,0.64,0.27,0.97,0.97,0.27,0.27,0.62,0.42,0.63,0.42,0.01,0.53,0.096,0.055,0.039
0.44,0.44,0.79,0.79,1.0,1.0,0.2501224088668823,0.2497768211364746,0.27,0.27,0.43,0.3,0.11999999999999994,0.11999999999999994,1.0,0.24,0.97,0.64,0.27,0.97,0.97,0.27,0.27,0.63,0.42,0.63,0.41,0.02,0.52,0.116,0.064,0.069
0.46,0.46,0.84,0.84,1.0,1.0,0.16199999999999998,0.16199999999999998,0.36,0.36,0.4,0.32,0.11999999999999994,0.11999999999999994,1.0,0.23,0.98,0.63,0.26,0.98,0.98,0.26,0.26,0.63,0.41,0.63,0.41,0.01,0.51,0.134,0.069,0.096
0.46,0.46,0.84,0.84,1.0,1.0,0.16199999999999998,0.16199999999999998,0.36,0.36,0.38,0.34,0.13499999999999995,0.11999999999999994,1.0,0.22,0.98,0.63,0.26,0.98,0.98,0.26,0.26,0.64,0.41,0.63,0.41,0.01,0.5,0.14,0.066,0.079
0.45,0.45,0.82,0.82,1.0,1.0,0.6274413275718689,0.6265822458267212,0.16,0.16,0.36,0.36,0.13499999999999995,0.14999999999999997,1.0,0.24,0.97,0.64,0.28,0.97,0.97,0.28,0.28,0.64,0.41,0.65,0.41,0.01,0.5,0.144,0.061,0.058
0.44,0.44,0.79,0.79,1.0,1.0,0.16199999999999998,0.16199999999999998,0.32,0.32,0.34,0.38,0.13499999999999995,0.13499999999999995,1.0,0.24,0.97,0.64,0.27,0.97,0.97,0.27,0.27,0.64,0.41,0.64,0.41,0.02,0.5,0.144,0.056,0.039
0.45,0.45,0.81,0.81,1.0,1.0,0.16199999999999998,0.16199999999999998,0.35,0.35,0.33,0.39,0.11999999999999994,0.11999999999999994,1.0,0.23,0.98,0.64,0.26,0.98,0.98,0.26,0.26,0.63,0.41,0.63,0.41,0.02,0.51,0.15,0.053,0.034
0.46,0.46,0.84,0.84,1.0,1.0,0.16199999999999998,0.16199999999999998,0.35,0.35,0.33,0.39,0.11999999999999994,0.11999999999999994,1.0,0.22,0.98,0.63,0.26,0.98,0.98,0.26,0.26,0.63,0.41,0.63,0.41,0.01,0.52,0.158,0.053,0.024
0.56,0.56,1.0,1.0,0.98,0.98,0.5439456510543823,0.543078761100769,0.18,0.18,0.34,0.38,0.16499999999999998,0.16499999999999998,1.0,0.3,0.915,0.69,0.36,0.91,0.92,0.36,0.36,0.66,0.4,0.66,0.4,0.07,0.53,0.167,0.044,0.013
0.58,0.58,1.0,1.0,0.96,0.96,0.2432891237735748,0.2429381716251373,0.27,0.27,0.36,0.36,0.13499999999999995,0.14999999999999997,1.0,0.35,0.845,0.73,0.46,0.84,0.85,0.46,0.46,0.64,0.41,0.65,0.41,0.17,0.51,0.163,0.032,-0.0
0.57,0.57,1.0,1.0,0.97,0.97,0.16199999999999998,0.16199999999999998,0.32,0.32,0.37,0.35,0.11999999999999994,0.13499999999999995,1.0,0.3,0.885,0.69,0.41,0.88,0.89,0.41,0.41,0.63,0.41,0.64,0.41,0.09,0.49,0.169,0.024,-0.006
0.57,0.57,1.0,1.0,0.97,0.97,0.16199999999999998,0.16199999999999998,0.33,0.33,0.38,0.34,0.11999999999999994,0.10499999999999993,1.0,0.33,0.845,0.71,0.48,0.84,0.85,0.48,0.48,0.63,0.42,0.62,0.42,0.21,0.41,0.183,0.013,-0.005
0.58,0.58,1.0,1.0,0.96,0.96,0.16199999999999998,0.16199999999999998,0.33,0.33,0.38,0.34,0.11999999999999994,0.10499999999999993,1.0,0.34,0.845,0.71,0.49,0.84,0.85,0.49,0.49,0.63,0.42,0.62,0.42,0.29,0.39,0.187,0.006,0.007
0.58,0.58,1.0,1.0,0.96,0.96,0.16199999999999998,0.16199999999999998,0.33,0.33,0.38,0.34,0.08999999999999991,0.10499999999999993,1.0,0.34,0.855,0.72,0.49,0.85,0.86,0.49,0.49,0.61,0.42,0.62,0.42,0.36,0.4,0.189,0.003,0.022
0.59,0.59,1.0,1.0,0.95,0.95,0.16199999999999998,0.16199999999999998,0.34,0.34,0.36,0.36,0.08999999999999991,0.08999999999999991,1.0,0.34,0.875,0.72,0.5,0.87,0.88,0.5,0.5,0.61,0.43,0.61,0.42,0.43,0.42,0.184,0.004,0.038
0.64,0.64,1.0,1.0,0.91,0.91,0.16199999999999998,0.16199999999999998,0.34,0.34,0.34,0.38,0.0749999999999999,0.0749999999999999,1.0,0.35,0.885,0.72,0.52,0.88,0.89,0.52,0.52,0.6,0.43,0.6,0.43,0.46,0.5,0.198,0.011,0.053
0.69,0.69,1.0,1.0,0.87,0.87,0.16199999999999998,0.16199999999999998,0.33,0.33,0.33,0.39,0.0749999999999999,0.0749999999999999,1.0,0.35,0.89,0.73,0.53,0.89,0.89,0.53,0.53,0.6,0.43,0.6,0.43,0.47,0.5,0.206,0.016,0.056
0.7,0.7,1.0,1.0,0.86,0.86,0.16199999999999998,0.16199999999999998,0.33,0.33,0.33,0.39,0.0749999999999999,0.0749999999999999,1.0,0.35,0.895,0.73,0.53,0.89,0.9,0.53,0.53,0.6,0.43,0.6,0.43,0.47,0.5,0.207,0.021,0.043
0.68,0.68,1.0,1.0,0.88,0.88,0.16199999999999998,0.16199999999999998,0.37,0.37,0.57,0.16,0.04499999999999987,0.05999999999999989,1.0,0.36,0.905,0.73,0.53,0.9,0.91,0.53,0.53,0.58,0.43,0.59,0.43,0.43,0.5,0.206,0.022,0.026
